,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Puri,100,ID,1570371809,81,-7.54,112.45,74.34,12.93
1,Yoichi,0,JP,1570371830,83,43.19,140.77,44.01,6.06
2,Busselton,0,AU,1570371831,57,-33.64,115.35,51.01,13.98
3,Hilo,1,US,1570371831,73,19.71,-155.08,71.6,6.93
4,Marawi,9,PH,1570371831,81,8.0,124.29,79.0,5.01
5,Hithadhoo,100,MV,1570371832,81,-0.6,73.08,80.82,14.29
6,Seoul,75,KR,1570371776,93,37.57,126.98,66.2,2.24
7,Mataura,79,NZ,1570371833,92,-46.19,168.86,44.01,1.01
8,Rikitea,100,PF,1570371833,93,-23.12,-134.97,72.54,28.32
9,Funadhoo,100,MV,1570371834,74,6.15,73.27,82.98,7.09
10,Butaritari,9,KI,1570371834,65,3.07,172.79,84.78,5.88
11,Reconquista,2,AR,1570371834,51,-29.14,-59.64,69.48,7.18
12,San Quintin,34,PH,1570371835,92,17.54,120.52,73.8,4.09
13,Alofi,100,NU,1570371836,77,-19.06,-169.92,68.0,4.7
14,Nikolskoye,75,RU,1570371836,69,59.7,30.79,39.2,4.47
15,Kodiak,40,US,1570371837,93,39.95,-94.76,52.0,5.95
16,Fortuna,1,US,1570371837,87,40.6,-124.16,46.4,8.05
17,Kaitangata,94,NZ,1570371838,80,-46.28,169.85,46.0,4.0
18,Mar del Plata,100,AR,1570371838,39,-46.43,-67.52,57.6,23.02
19,Bredasdorp,100,ZA,1570371838,52,-34.53,20.04,68.0,12.75
20,Ushuaia,75,AR,1570371566,81,-54.81,-68.31,44.6,23.04
21,Upernavik,99,GL,1570371839,78,72.79,-56.15,32.4,11.36
22,Aitape,14,PG,1570371840,88,-3.15,142.36,76.68,4.45
23,Ancud,75,CL,1570371840,87,-41.87,-73.83,51.8,8.05
24,Hermanus,100,ZA,1570371841,68,-34.42,19.24,66.99,5.01
25,Atuona,59,PF,1570371842,70,-9.8,-139.03,79.2,16.33
26,Sitka,81,US,1570371842,77,37.17,-99.65,57.0,5.99
27,The Valley,40,AI,1570371842,62,18.22,-63.06,89.6,9.17
28,Auch,75,FR,1570371843,82,43.65,0.59,68.0,11.41
29,San Roque,75,CO,1570371843,100,6.49,-75.02,69.8,2.24
30,Saldanha,59,PT,1570371843,33,41.42,-6.55,75.06,3.71
31,Barrow,0,AR,1570371844,34,-38.31,-60.23,68.22,18.16
32,Ribeira Grande,75,PT,1570371844,88,38.52,-28.7,73.4,12.75
33,Hasaki,75,JP,1570371844,82,35.73,140.83,64.4,9.17
34,Sinnamary,2,GF,1570371845,76,5.38,-52.96,82.44,13.51
35,Kapaa,90,US,1570371604,88,22.08,-159.32,73.4,3.36
36,Albany,90,US,1570371846,67,42.65,-73.75,57.99,14.99
37,Bontang,89,ID,1570371846,88,0.12,117.47,74.16,1.95
38,Kondinskoye,100,RU,1570371846,89,59.65,67.41,50.22,7.65
39,Pechora,88,RU,1570371847,79,65.12,57.16,33.3,7.83
40,Bluff,0,AU,1570371847,75,-23.58,149.07,63.0,2.91
41,Gat,75,SN,1570371848,66,14.69,-16.54,87.8,6.93
42,Vaini,97,IN,1570371848,87,15.34,74.49,76.68,0.87
43,Guerrero Negro,0,MX,1570371848,77,27.97,-114.04,69.66,10.56
44,Qaanaaq,99,GL,1570371849,82,77.48,-69.36,17.64,11.25
45,Quelimane,20,MZ,1570371849,61,-17.88,36.89,82.4,10.29
46,Bethel,90,US,1570371849,86,60.79,-161.76,39.2,17.22
47,Chivilcoy,0,AR,1570371850,39,-34.9,-60.02,68.94,12.46
48,Coihaique,90,CL,1570371850,93,-45.58,-72.07,41.0,3.36
49,Smithers,20,CA,1570371851,86,54.78,-127.17,33.8,4.7
50,Te Anau,73,NZ,1570371851,82,-45.41,167.72,41.04,3.76
51,Constitucion,5,MX,1570371852,81,23.99,-104.67,61.0,5.91
52,Svetlogorsk,32,RU,1570371852,28,53.14,59.15,55.4,6.71
